school_id,student_id,sex,yob,died_y3,married_y3,children_y3,preg_y3,dropout_y3,visit_month_y3,trt_school,died_y5,married_y5,children_y5,preg_y5,dropout_y5,visit_month_y5
6,660008,0,1989,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660009,0,1991,0,0,.,.,0,9,0,.,0,.,.,0,3
6,660010,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660011,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660013,0,.,.,.,.,.,0,9,0,.,.,.,.,0,3
6,660014,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660015,0,1990,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660016,0,1990,0,0,.,.,0,9,0,.,0,.,.,0,3
6,660017,0,1989,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660018,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660019,0,1991,0,0,.,.,0,9,0,.,0,.,.,0,3
6,660020,0,1989,0,0,.,.,0,9,0,0,0,.,.,1,3
6,660021,0,1990,0,0,.,.,0,9,0,0,0,.,.,1,3
6,660022,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660023,0,1992,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660024,0,.,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660025,0,1992,.,.,.,.,1,9,0,.,.,.,.,1,3
6,660026,0,1992,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660027,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660028,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660029,0,1990,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660030,0,1988,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660031,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660032,1,1990,.,.,.,1,1,9,0,0,1,1,1,1,3
6,660033,1,1990,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660034,1,1990,.,.,.,.,0,9,0,0,0,0,0,0,3
6,660035,1,1992,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660036,1,1990,.,1,.,.,1,9,0,.,1,.,1,1,3
6,660037,1,1991,0,0,0,0,0,9,0,0,0,1,1,0,3
6,660038,1,1990,0,1,1,1,1,9,0,.,1,1,1,1,3
6,660039,1,1991,0,0,0,0,0,9,0,.,1,1,1,1,3
6,660040,1,1990,.,0,0,0,0,9,0,0,0,0,0,0,3
6,660041,1,1990,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660042,1,1991,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660043,1,1990,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660044,1,1992,0,0,0,0,0,9,0,0,0,1,1,0,3
6,660045,1,1991,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660046,1,1989,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660047,1,1992,0,1,0,1,1,9,0,0,1,1,1,1,3
6,660048,1,1992,0,0,0,0,0,9,0,.,.,.,.,0,3
6,660049,1,.,.,0,0,0,0,9,0,.,.,.,.,1,3
6,660050,1,1992,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660051,1,1991,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660052,1,1991,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660053,1,1991,0,0,0,0,0,9,0,0,0,0,1,0,3
6,660054,1,1991,0,0,0,0,1,9,0,.,.,.,.,1,3
6,660055,1,1991,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660056,1,.,.,.,.,.,1,9,0,.,.,.,.,1,3
6,660057,1,1990,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660064,0,1992,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660065,1,.,0,0,1,1,0,9,0,.,.,1,1,0,3
6,660066,1,1992,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660067,1,1992,0,0,0,0,0,9,0,.,.,.,.,0,3
6,660068,1,1989,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660069,1,1992,0,0,0,0,0,9,0,0,0,0,0,0,3
6,660070,1,.,1,.,0,.,.,9,0,1,.,0,.,.,3
